id,address,businessName,photoURL,city,state,url,reviewCount,stars,longitude,latitude
416,"The Robert Schattner Center240 S 40th StUniversity CityPhiladelphia, PA 19104",University of Pennsylvania School of Dental Medicine,http://s3-media1.ak.yelpcdn.com/bphoto/Fm4FJdbNDGvIZJ3lrmNWmw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/university-of-pennsylvania-school-of-dental-medicine-philadelphia,3,4,-75.2029913,39.9527617
417,"Penn Presbyterian Medical CenterMutch Building, 7th Floor, 51 N 39th StPowelton VillagePhiladelphia, PA 19104",Penn Family Care,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/penn-family-care-philadelphia,12,2,-75.1953934,39.9583587
418,"3420 Walnut StUniversity CityPhiladelphia, PA 19104",Mark's Cafe,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/marks-cafe-philadelphia,3,2.5,-75.193498,39.952739
419,"51 N 39th StPowelton VillagePhiladelphia, PA 19104",Penn Eye Care-Scheie Eye Institute,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/penn-eye-care-scheie-eye-institute-philadelphia,4,2.5,-75.1995351,39.9572391
420,"4034 Walnut StUniversity CityPhiladelphia, PA 19104",Lee's Hoagie House,http://s3-media2.ak.yelpcdn.com/bphoto/bykCzb8zi3w2_V5rzAZdoA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/lees-hoagie-house-philadelphia-2,47,3.5,-75.2041516,39.9542123
421,"4004 Chestnut StUniversity CityPhiladelphia, PA 19104",New Delhi Indian Restaurant,http://s3-media1.ak.yelpcdn.com/bphoto/Ok881W6CvU4EtdrRloz3fw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/new-delhi-indian-restaurant-philadelphia,199,4,-75.2026047,39.9555719
422,"3300 Market StUniversity CityPhiladelphia, PA 19104",La Dominique,http://s3-media4.ak.yelpcdn.com/bphoto/haIPZZp7XVTVmYxpCL2y9Q/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/la-dominique-philadelphia,17,4.5,-75.1896905,39.9553587
423,"36th and Spruce StUniversity CityPhiladelphia, PA 19195",The Real Lee Ahn,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/the-real-lee-ahn-philadelphia,11,2.5,-75.1953255,39.950789
424,"3929 Sansom StUniversity CityPhiladelphia, PA 19104",Fatboy and Slim's,http://s3-media2.ak.yelpcdn.com/bphoto/PvEw8trDU-G9IWFKQmCBXg/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/fatboy-and-slims-philadelphia,8,3.5,-75.2010456,39.9547647
425,"3131 Walnut StUniversity CityPhiladelphia, PA 19104",Trophy Bikes,http://s3-media3.ak.yelpcdn.com/bphoto/pLISQw7S5vwIW-jxLeIoWw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/trophy-bikes-philadelphia,38,3.5,-75.1873948,39.9523072
426,"3724 Spruce StUniversity CityPhiladelphia, PA 19104",Bonded Cleaners,http://s3-media2.ak.yelpcdn.com/bphoto/lpH0hIXps6_PFQI9jOANdw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/bonded-cleaners-philadelphia,6,3,-75.1984011,39.9510629
427,"3701 Chestnut StUniversity CityPhiladelphia, PA 19104",Aroma Cafe,http://s3-media4.ak.yelpcdn.com/bphoto/yMsAtYdQF2GZHxVwwUiJaQ/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/aroma-cafe-philadelphia,5,3,-75.196776,39.955066
428,"3801 Chestnut StUniversity CityPhiladelphia, PA 19104",Jolly's Dueling Pianos & American Beer Bar,http://s3-media3.ak.yelpcdn.com/bphoto/9QEe_CMJQA_PQstnXdN9rA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/jollys-dueling-pianos-and-american-beer-bar-philadelphia,6,4,-75.198948,39.955642
